Alameda,2011,58.4,66.7,48.45,93.0,30.0,14.615,1.14
Alpine,2011,40.8,51.8,31.6,78.0,-1.0,40.46,2.0
Amador,2011,57.1,67.3,46.9,96.0,18.5,,
Butte,2011,60.4,72.1,49.05,104.5,25.5,35.95,2.34
Calaveras,2011,58.55,70.35,46.7,101.0,25.5,20.6,1.31
Colusa,2011,59.45,73.05,45.85,102.5,23.0,,
Contra Costa,2011,57.1,65.5,48.6,96.0,28.0,20.415,1.645
Del Norte,2011,51.7,59.55,43.8,82.5,26.0,64.44,2.64
El Dorado,2011,43.9,58.9,35.4,88.0,3.0,35.17,2.2
Fresno,2011,59.9,70.8,47.4,99.0,25.5,16.58,2.25
Glenn,2011,61.2,73.5,49.1,107.0,26.0,17.14,1.88
Humboldt,2011,51.6,58.8,44.0,100.0,25.0,46.66,1.89
Imperial,2011,75.3,88.4,60.2,117.0,30.0,1.69,0.61
Inyo,2011,59.6,74.3,48.5,103.0,21.0,2.26,0.515
Kern,2011,61.05,75.05,47.25,104.0,23.5,5.41,0.89
Kings,2011,61.9,75.35,48.2,105.0,21.0,7.61,1.16
Lake,2011,57.9,68.7,47.6,98.0,23.0,,
Lassen,2011,46.3,59.8,32.3,95.0,-3.0,10.235,1.425
Los Angeles,2011,61.8,74.45,50.9,105.0,31.5,12.92,2.73
Madera,2011,59.5,72.3,47.0,101.5,23.5,23.235,2.43
Marin,2011,56.2,66.4,46.3,99.0,28.5,36.035,2.59
Mariposa,2011,51.6,62.1,41.7,88.0,13.0,37.96,2.79
Mendocino,2011,56.4,68.6,42.9,102.0,23.0,38.42,2.73
Merced,2011,61.65,74.45,48.25,105.0,23.0,9.96,1.26
Modoc,2011,46.15,57.65,33.0,92.0,-2.0,21.31,1.4
Mono,2011,41.8,56.15,30.9,82.5,-1.0,26.38,2.1
Monterey,2011,57.35,70.2,44.05,101.0,26.5,16.77,1.525
Napa,2011,58.7,71.9,44.9,99.0,26.0,27.97,2.55
Nevada,2011,54.1,62.5,42.4,91.5,20.0,46.41,3.08
Orange,2011,64.4,75.95,54.05,105.0,34.5,8.96,1.22
Placer,2011,48.05,58.9,37.5,86.5,7.0,34.17,2.65
Plumas,2011,47.2,62.2,34.3,95.0,5.0,23.05,1.925
Riverside,2011,65.3,80.4,51.7,110.0,29.0,7.56,1.145
Sacramento,2011,60.2,72.7,47.6,102.0,25.0,18.8,1.23
San Benito,2011,57.5,68.0,45.45,97.0,24.0,11.545,1.19
San Bernardino,2011,63.05,75.4,49.7,106.5,22.0,4.61,1.24
San Diego,2011,61.7,72.3,49.3,101.0,30.0,12.49,1.495
San Francisco,2011,56.7,62.7,50.6,88.0,37.0,22.18,1.23
San Joaquin,2011,60.0,73.0,47.0,103.0,22.0,12.06,0.95
San Luis Obispo,2011,59.1,74.25,44.1,103.5,22.5,15.16,2.28
San Mateo,2011,55.4,64.2,47.2,92.0,31.0,16.61,1.48
Santa Barbara,2011,58.3,68.6,48.35,98.0,31.5,18.59,3.87
Santa Clara,2011,59.05,70.05,49.0,97.5,30.5,13.59,1.24
Santa Cruz,2011,56.8,67.25,46.3,95.5,27.5,30.285,2.285
Shasta,2011,57.4,67.45,45.9,100.5,22.0,42.56,2.48
Sierra,2011,43.85,59.2,29.65,89.5,-8.0,31.53,1.95
Siskiyou,2011,49.9,63.4,36.65,96.0,8.5,17.8,1.05
Solano,2011,60.1,73.2,46.3,103.0,22.0,21.8,1.36
Sonoma,2011,56.7,69.0,44.1,98.0,25.0,30.87,2.11
Stanislaus,2011,60.55,71.4,49.7,101.0,26.5,10.81,0.76
Sutter,2011,,,,,,,
Tehama,2011,61.3,73.0,48.6,105.0,24.0,16.505,1.37
Trinity,2011,52.55,66.6,39.5,99.5,16.0,29.38,1.82
Tulare,2011,57.0,69.1,45.8,98.0,20.5,11.17,1.75
Tuolumne,2011,54.4,68.6,40.7,97.5,18.0,30.17,2.73
Ventura,2011,60.5,71.3,49.45,100.0,32.0,13.3,4.91
Yolo,2011,61.6,75.1,48.0,104.0,25.0,17.45,1.29
Yuba,2011,55.8,64.2,47.4,96.0,20.0,19.67,1.53
