Alameda,2010,58.9,66.9,49.9,100.0,32.0,21.15,1.36
Alpine,2010,40.5,51.05,31.8,79.5,-0.5,58.49,3.5
Amador,2010,58.5,66.8,48.5,104.0,27.0,49.255,2.81
Butte,2010,60.7,70.6,49.5,106.0,27.0,55.845,2.725
Calaveras,2010,58.85,70.2,47.5,106.5,26.0,47.035,3.91
Colusa,2010,,,,,,,
Contra Costa,2010,57.6,65.6,48.7,103.0,31.0,25.82,1.74
Del Norte,2010,51.8,59.9,45.05,90.0,29.5,85.655,2.77
El Dorado,2010,43.5,55.5,31.5,82.0,-1.0,53.175,3.92
Fresno,2010,60.2,68.4,48.7,103.0,25.0,39.15,2.75
Glenn,2010,61.5,73.0,49.9,108.0,26.0,28.675,1.8
Humboldt,2010,56.05,65.4,45.35,100.0,28.5,65.435,3.085
Imperial,2010,74.5,87.5,61.1,116.0,34.0,5.355,1.07
Inyo,2010,60.5,73.3,47.4,107.0,15.0,9.16,2.47
Kern,2010,61.45,73.6,49.3,106.0,24.0,12.54,1.78
Kings,2010,62.7,75.1,50.0,109.5,27.0,14.01,1.515
Lake,2010,57.8,68.75,46.7,105.5,26.5,56.87,3.12
Lassen,2010,47.0,59.95,34.2,97.0,-2.0,14.185,1.625
Los Angeles,2010,61.8,72.5,50.5,108.0,33.0,24.11,2.515
Madera,2010,59.65,72.0,47.95,107.5,24.5,16.905,1.6
Marin,2010,56.9,66.0,48.2,102.0,32.0,50.81,3.3
Mariposa,2010,49.1,57.2,41.3,89.0,9.0,53.83,3.42
Mendocino,2010,55.3,68.1,43.5,103.0,25.0,65.2,4.73
Merced,2010,62.9,73.8,48.8,106.0,28.5,14.625,0.975
Modoc,2010,46.05,57.45,33.8,94.5,-2.0,22.53,1.6
Mono,2010,42.1,58.25,30.75,87.5,-2.5,37.57,2.3
Monterey,2010,57.3,67.75,46.35,102.5,29.0,22.81,1.35
Napa,2010,59.2,70.8,46.0,104.0,28.0,36.23,2.35
Nevada,2010,54.6,62.75,43.6,97.5,22.0,64.55,3.775
Orange,2010,64.1,74.3,53.9,111.0,35.0,26.19,2.45
Placer,2010,50.3,56.4,40.7,90.0,12.0,76.29,4.8
Plumas,2010,47.45,61.4,35.9,96.0,4.0,45.665,2.11
Riverside,2010,63.0,75.0,50.7,110.5,26.0,16.99,2.735
Sacramento,2010,60.7,72.7,48.7,108.0,29.0,24.83,1.365
San Benito,2010,57.6,69.2,46.1,107.0,27.0,16.89,1.43
San Bernardino,2010,63.3,76.5,51.5,108.0,23.0,11.62,1.79
San Diego,2010,61.2,71.9,49.8,105.0,30.0,23.54,3.04
San Francisco,2010,56.9,62.7,51.0,98.0,41.0,31.14,1.36
San Joaquin,2010,60.7,73.2,48.2,108.0,27.0,22.47,1.1
San Luis Obispo,2010,58.7,73.5,45.9,109.0,25.0,27.87,2.56
San Mateo,2010,55.5,65.5,47.9,99.0,31.0,30.73,1.73
Santa Barbara,2010,57.85,67.4,48.7,103.5,33.0,29.735,3.02
Santa Clara,2010,56.7,69.9,47.1,101.0,28.5,21.36,1.67
Santa Cruz,2010,57.1,67.0,47.05,103.5,29.0,39.55,2.42
Shasta,2010,57.6,68.45,47.0,105.5,25.0,61.05,3.56
Sierra,2010,44.0,58.05,30.95,90.0,-3.5,43.49,3.5
Siskiyou,2010,50.4,62.85,38.1,98.5,12.5,24.28,1.81
Solano,2010,60.7,73.4,47.7,107.0,28.0,31.915,2.17
Sonoma,2010,56.85,66.65,45.8,103.0,27.5,53.21,3.28
Stanislaus,2010,61.7,72.3,51.0,104.0,29.0,17.335,1.15
Sutter,2010,,,,,,22.34,1.27
Tehama,2010,58.45,68.4,48.95,105.5,25.5,28.945,1.46
Trinity,2010,52.8,65.6,40.65,103.0,19.5,45.98,3.25
Tulare,2010,60.25,72.55,47.65,106.0,23.0,24.95,2.98
Tuolumne,2010,54.5,68.1,42.2,103.0,19.0,51.435,2.78
Ventura,2010,60.3,73.3,50.3,108.0,31.0,24.36,2.83
Yolo,2010,62.05,74.15,49.5,109.0,29.5,23.595,1.505
Yuba,2010,55.9,67.95,43.85,102.0,22.5,54.91,4.93
