County,Year,Total number of acres burned
Alameda,2008,196
Alpine,2008,0
Amador,2008,348
Butte,2008,79766
Calaveras,2008,413
Colusa,2008,76
Contra Costa,2008,164
Del Norte,2008,34
El Dorado,2008,787
Fresno,2008,1822
Glenn,2008,57
Humboldt,2008,1629
Imperial,2008,0
Inyo,2008,783
Kern,2008,0
Kings,2008,974
Lake,2008,15115
Lassen,2008,15890
Los Angeles,2008,0
Madera,2008,3673
Marin,2008,0
Mariposa,2008,37506
Mendocino,2008,66215
Merced,2008,1575
Modoc,2008,40
Mono,2008,0
Monterey,2008,782
Napa,2008,4835
Nevada,2008,127
Orange,2008,0
Placer,2008,1512
Plumas,2008,3
Riverside,2008,31025
Sacramento,2008,53
San Benito,2008,3889
San Bernardino,2008,606
San Diego,2008,985
San Francisco,2008,0
San Joaquin,2008,109
San Luis Obispo,2008,472
San Mateo,2008,328
Santa Barbara,2008,0
Santa Clara,2008,5063
Santa Cruz,2008,1321
Shasta,2008,64418
Sierra,2008,0
Siskiyou,2008,236
Solano,2008,9
Sonoma,2008,1342
Stanislaus,2008,591
Sutter,2008,0
Tehama,2008,15461
Trinity,2008,14506
Tulare,2008,3238
Tuolumne,2008,1674
Ventura,2008,0
Yolo,2008,372
Yuba,2008,291
