County,Year,# Days with AQI,Good,Moderate,Unhealthy for Sensitive Groups,Unhealthy,Very Unhealthy,AQI Maximum,AQI 90th Percentile,AQI Median,# Days CO,# Days NO2,# Days O3,# Days SO2,# Days PM2.5,# Days PM10
Alameda,2016,305,205,88,11,1,0,154,72,44,0,4,187,0,114,0
Alpine,2016,,,,,,,,,,,,,,,
Amador,2016,121,118,3,0,0,0,58,41,33,0,0,121,0,0,0
Butte,2016,236,191,45,0,0,0,100,56,38,0,0,70,0,166,0
Calaveras,2016,121,111,10,0,0,0,71,49,37,0,0,73,0,48,0
Colusa,2016,252,221,31,0,0,0,94,51,34,0,0,77,0,172,3
Contra Costa,2016,305,247,55,3,0,0,143,59,40,0,0,206,0,99,0
Del Norte,2016,,,,,,,,,,,,,,,
El Dorado,2016,121,105,16,0,0,0,97,54,41,0,0,121,0,0,0
Fresno,2016,335,112,148,65,10,0,174,126,63,0,0,227,0,88,20
Glenn,2016,121,115,6,0,0,0,67,45,36,0,0,97,0,24,0
Humboldt,2016,274,271,3,0,0,0,60,40,31,0,0,247,0,9,18
Imperial,2016,274,69,167,35,3,0,166,108,61,0,2,125,0,57,90
Inyo,2016,305,194,95,11,3,2,367,87,46,0,0,267,0,15,23
Kern,2016,274,55,125,83,11,0,169,136,80,0,0,209,0,62,3
Kings,2016,335,98,196,40,1,0,156,103,64,0,0,174,0,73,88
Lake,2016,273,266,7,0,0,0,74,44,36,0,0,271,0,2,0
Lassen,2016,,,,,,,,,,,,,,,
Los Angeles,2016,274,65,167,31,9,2,210,112,58,0,12,84,0,176,2
Madera,2016,216,87,103,24,2,0,156,102,55.5,0,0,137,0,79,0
Marin,2016,278,259,19,0,0,0,90,47,31,0,5,178,0,91,4
Mariposa,2016,304,210,83,11,0,0,126,87,44,0,0,266,0,27,11
Mendocino,2016,180,176,4,0,0,0,63,41,32,0,0,120,0,58,2
Merced,2016,173,65,80,26,2,0,151,112,61,0,0,109,0,61,3
Modoc,2016,,,,,,,,,,,,,,,
Mono,2016,274,244,16,2,2,10,3950,52,17.5,0,0,0,0,0,274
Monterey,2016,274,236,27,3,8,0,176,55,37,0,0,182,0,53,39
Napa,2016,305,267,38,0,0,0,90,52,36,0,1,156,0,147,1
Nevada,2016,335,205,85,40,5,0,179,105,46,0,0,330,0,5,0
Orange,2016,271,158,104,7,2,0,169,74,47,0,10,88,0,172,1
Placer,2016,305,166,109,27,3,0,185,100,49,0,0,256,0,49,0
Plumas,2016,244,185,54,5,0,0,130,70,28,0,0,0,0,244,0
Riverside,2016,350,82,170,67,26,5,389,148.5,72.5,0,0,216,0,73,61
Sacramento,2016,274,147,95,26,6,0,172,105,48,0,0,194,0,80,0
San Benito,2016,304,243,56,5,0,0,126,62,40,0,0,291,0,13,0
San Bernardino,2016,305,46,185,52,15,7,212,140,74,0,16,198,1,83,7
San Diego,2016,307,57,208,40,2,0,164,108,67,0,4,211,0,92,0
San Francisco,2016,305,267,38,0,0,0,67,52,35,0,32,141,0,132,0
San Joaquin,2016,249,161,85,3,0,0,112,74,44,0,0,51,0,172,26
San Luis Obispo,2016,305,151,145,8,1,0,156,87,51,0,0,226,0,58,21
San Mateo,2016,304,247,57,0,0,0,67,54,38,0,14,97,0,193,0
Santa Barbara,2016,274,197,71,4,1,1,315,64,44,0,1,173,0,75,25
Santa Clara,2016,305,233,71,1,0,0,101,61,40,0,8,166,0,131,0
Santa Cruz,2016,274,265,9,0,0,0,63,44,32,0,0,193,0,81,0
Shasta,2016,294,258,36,0,0,0,87,54,41,0,0,291,0,2,1
Sierra,2016,,,,,,,,,,,,,,,
Siskiyou,2016,269,265,4,0,0,0,93,43,28,0,0,260,0,9,0
Solano,2016,305,242,61,2,0,0,105,58,40,0,3,191,0,111,0
Sonoma,2016,305,297,8,0,0,0,87,42,31,0,0,267,0,35,3
Stanislaus,2016,249,100,121,25,3,0,156,101,54,0,0,159,0,87,3
Sutter,2016,241,187,53,1,0,0,112,58,38,0,0,43,0,198,0
Tehama,2016,274,216,53,5,0,0,126,67,39,0,0,244,0,29,1
Trinity,2016,106,91,15,0,0,0,87,57,35,0,0,0,0,106,0
Tulare,2016,305,84,121,81,19,0,177,147,71,0,0,235,0,70,0
Tuolumne,2016,120,111,9,0,0,0,77,47.5,38,0,0,120,0,0,0
Ventura,2016,305,130,166,9,0,0,147,84,53,0,0,187,0,111,7
Yolo,2016,274,220,50,4,0,0,115,61,40.5,0,0,228,0,45,1
Yuba,2016,,,,,,,,,,,,,,,
